date,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2022-10-11,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,3,73,73,3
2022-10-12,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,4,72,72,4
2022-10-13,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,3,73,73,3
2022-10-14,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,4,72,72,4
2022-10-15,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,2,74,74,2
2022-10-16,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,6,70,70,6
2022-10-17,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,4,72,72,4
2022-10-18,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,4,72,72,4
2022-10-19,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,3,73,73,3
2022-10-20,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,7,69,69,7
2022-10-21,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,3,73,73,3
2022-10-22,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,6,70,70,6
2022-10-23,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,7,69,69,7
2022-10-24,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,6,70,70,6
2022-10-25,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,6,70,70,6
2022-10-26,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,6,70,70,6
2022-10-27,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,8,68,68,8
2022-10-28,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,8,68,68,8
2022-10-29,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,8,68,68,8
2022-10-30,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,9,67,67,9
2022-10-31,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,10,66,66,10
2022-11-01,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,10,66,66,10
2022-11-02,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,8,68,68,8
2022-11-03,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,11,65,65,11
2022-11-04,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,10,66,66,10
2022-11-05,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,10,66,66,10
2022-11-06,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,10,66,66,10
2022-11-07,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,3,73,73,3
2022-11-08,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,2,74,74,2
2022-11-09,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,5,71,71,5
2022-11-10,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,7,69,69,7
2022-11-11,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,5,71,71,5
2022-11-12,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,10,66,66,10
2022-11-13,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,10,66,66,10
2022-11-14,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,4,72,72,4
2022-11-15,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,4,72,72,4
2022-11-16,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,3,73,73,3
2022-11-17,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,5,71,71,5
2022-11-18,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,3,73,73,3
2022-11-19,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,3,73,73,3
2022-11-20,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,5,71,71,5
2022-11-21,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,6,70,70,6
2022-11-22,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,5,71,71,5
2022-11-23,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,5,71,71,5
2022-11-24,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,4,72,72,4
2022-11-25,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,2,74,74,2
2022-11-26,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,2,74,74,2
2022-11-27,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,2,74,74,2
2022-11-28,3,Niedersachsen,3360,LK Uelzen,2,2,3,0.0,5,71,71,5
2022-11-29,3,Niedersachsen,3360,LK Uelzen,2,2,3,0.0,5,71,71,5
2022-11-30,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,5,71,71,5
2022-12-01,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,4,72,72,4
2022-12-02,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,4,72,72,4
2022-12-03,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,4,72,72,4
2022-12-04,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,6,70,70,6
2022-12-05,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,6,70,70,6
2022-12-06,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,5,71,71,5
2022-12-07,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,5,71,71,5
2022-12-08,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,2,74,74,2
2022-12-09,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,5,71,71,5
2022-12-10,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,5,71,71,5
2022-12-11,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,3,73,73,3
2022-12-12,3,Niedersachsen,3360,LK Uelzen,2,2,3,0.0,2,74,74,2
2022-12-13,3,Niedersachsen,3360,LK Uelzen,2,2,3,0.0,4,72,72,4
2022-12-14,3,Niedersachsen,3360,LK Uelzen,2,2,3,0.0,4,72,72,4
2022-12-15,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,4,72,72,4
2022-12-16,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,4,72,72,4
2022-12-17,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,4,72,72,4
2022-12-18,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,4,72,72,4
2022-12-19,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,4,72,72,4
2022-12-20,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,4,72,72,4
2022-12-21,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,4,72,72,4
2022-12-22,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,2,74,74,2
2022-12-23,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,4,72,72,4
2022-12-24,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,4,72,72,4
2022-12-25,3,Niedersachsen,3360,LK Uelzen,2,2,3,0.0,2,74,74,2
2022-12-26,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,2,74,74,2
2022-12-27,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,2,74,74,2
2022-12-28,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,3,73,73,3
2022-12-29,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,3,73,73,3
2022-12-30,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,2,74,74,2
2022-12-31,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,2,74,74,2
2023-01-01,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,2,74,74,2
2023-01-02,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,2,74,74,2
2023-01-03,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,3,73,73,3
2023-01-04,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,3,73,73,3
2023-01-05,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,3,73,73,3
2023-01-06,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,3,73,73,3
2023-01-07,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,4,72,72,4
2023-01-08,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,6,70,70,6
2023-01-09,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,5,71,71,5
2023-01-10,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,4,72,72,4
2023-01-11,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,3,73,73,3
2023-01-12,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,3,73,73,3
2023-01-13,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,3,73,73,3
2023-01-14,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,3,73,73,3
2023-01-15,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,3,73,73,3
2023-01-16,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,3,73,73,3
2023-01-17,3,Niedersachsen,3360,LK Uelzen,2,2,4,1.0,3,73,73,3
2023-01-18,3,Niedersachsen,3360,LK Uelzen,2,2,4,1.0,6,70,70,6
2023-01-19,3,Niedersachsen,3360,LK Uelzen,2,2,5,0.0,4,72,72,4
2023-01-20,3,Niedersachsen,3360,LK Uelzen,2,2,5,0.0,7,69,69,7
2023-01-21,3,Niedersachsen,3360,LK Uelzen,2,2,5,0.0,5,71,71,5
2023-01-22,3,Niedersachsen,3360,LK Uelzen,2,2,5,0.0,5,71,71,5
2023-01-23,3,Niedersachsen,3360,LK Uelzen,2,2,5,0.0,4,72,72,4
2023-01-24,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,5,71,71,5
2023-01-25,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,2,74,74,2
2023-01-26,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,3,73,73,3
2023-01-27,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,3,73,73,3
2023-01-28,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,3,73,73,3
2023-01-29,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,3,73,73,3
2023-01-30,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,4,72,72,4
2023-01-31,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,4,72,72,4
2023-02-01,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,3,73,73,3
2023-02-02,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,5,71,71,5
2023-02-03,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,5,71,71,5
2023-02-04,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,4,72,72,4
2023-02-05,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,4,72,72,4
2023-02-06,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,6,70,70,6
2023-02-07,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,2,74,74,2
2023-02-08,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,4,72,72,4
2023-02-09,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,4,72,72,4
2023-02-10,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,3,73,73,3
2023-02-11,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,3,73,73,3
2023-02-12,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,3,73,73,3
2023-02-13,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,2,74,74,2
2023-02-14,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,3,73,73,3
2023-02-15,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,7,69,69,7
2023-02-16,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,3,73,73,3
2023-02-17,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,4,72,72,4
2023-02-18,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,4,72,72,4
2023-02-19,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,4,72,72,4
2023-02-20,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,4,72,72,4
2023-02-21,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,3,73,73,3
2023-02-22,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,6,70,70,6
2023-02-23,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,3,73,73,3
2023-02-24,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,2,74,74,2
2023-02-25,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,2,74,74,2
2023-02-26,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,2,74,74,2
2023-02-27,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,2,74,74,2
2023-02-28,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,3,73,73,3
2023-03-01,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,4,72,72,4
2023-03-02,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,3,73,73,3
2023-03-03,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,6,70,70,6
2023-03-04,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,5,71,71,5
2023-03-05,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,3,73,73,3
2023-03-06,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,6,70,70,6
2023-03-07,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,3,73,73,3
2023-03-08,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,5,71,71,5
2023-03-09,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,4,72,72,4
2023-03-10,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,4,72,72,4
2023-03-11,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,4,72,72,4
2023-03-12,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,4,72,72,4
2023-03-13,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,3,73,73,3
2023-03-14,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,2,74,74,2
2023-03-15,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,3,73,73,3
2023-03-16,3,Niedersachsen,3360,LK Uelzen,2,2,0,0.0,3,73,73,3
2023-03-17,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,4,72,72,4
2023-03-18,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,2,74,74,2
2023-03-19,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,2,74,74,2
2023-03-20,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,6,70,70,6
2023-03-21,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,3,73,73,3
2023-03-22,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,2,74,74,2
2023-03-23,3,Niedersachsen,3360,LK Uelzen,2,2,3,1.0,4,72,72,4
2023-03-24,3,Niedersachsen,3360,LK Uelzen,2,2,3,1.0,3,73,73,3
2023-03-25,3,Niedersachsen,3360,LK Uelzen,2,2,3,1.0,3,73,73,3
2023-03-26,3,Niedersachsen,3360,LK Uelzen,2,2,3,1.0,3,73,73,3
2023-03-27,3,Niedersachsen,3360,LK Uelzen,2,2,3,1.0,5,71,71,5
2023-03-28,3,Niedersachsen,3360,LK Uelzen,2,2,3,1.0,5,71,71,5
2023-03-29,3,Niedersachsen,3360,LK Uelzen,2,2,3,1.0,6,70,70,6
2023-03-30,3,Niedersachsen,3360,LK Uelzen,2,2,3,1.0,6,70,70,6
2023-03-31,3,Niedersachsen,3360,LK Uelzen,2,2,4,1.0,6,70,70,6
2023-04-01,3,Niedersachsen,3360,LK Uelzen,2,2,4,1.0,6,70,70,6
2023-04-02,3,Niedersachsen,3360,LK Uelzen,2,2,4,1.0,6,70,70,6
2023-04-03,3,Niedersachsen,3360,LK Uelzen,2,2,3,1.0,4,72,72,4
2023-04-04,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,4,72,72,4
2023-04-05,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,5,71,71,5
2023-04-06,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,6,70,70,6
2023-04-07,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,6,70,70,6
2023-04-08,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,8,68,68,8
2023-04-09,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,7,69,69,7
2023-04-10,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,5,71,71,5
2023-04-11,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,7,69,69,7
2023-04-12,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,4,72,72,4
2023-04-13,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,4,72,72,4
2023-04-14,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,5,71,71,5
2023-04-15,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,5,71,71,5
2023-04-16,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,5,71,71,5
2023-04-17,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,6,70,70,6
2023-04-18,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,6,70,70,6
2023-04-19,3,Niedersachsen,3360,LK Uelzen,2,2,3,0.0,6,70,70,6
2023-04-20,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,7,69,69,7
2023-04-21,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,7,69,69,7
2023-04-22,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,7,69,69,7
2023-04-23,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,2,74,74,2
2023-04-24,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,4,72,72,4
2023-04-25,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,2,74,74,2
2023-04-26,3,Niedersachsen,3360,LK Uelzen,2,2,3,1.0,4,72,72,4
2023-04-27,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,4,72,72,4
2023-04-28,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,5,71,71,5
2023-04-29,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,4,72,72,4
2023-04-30,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,2,52,52,2
2023-05-01,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,2,52,52,2
2023-05-02,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,2,52,52,2
2023-05-03,3,Niedersachsen,3360,LK Uelzen,2,2,3,2.0,6,48,48,6
2023-05-04,3,Niedersachsen,3360,LK Uelzen,2,2,3,2.0,4,50,50,4
2023-05-05,3,Niedersachsen,3360,LK Uelzen,2,2,3,2.0,4,50,50,4
2023-05-06,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,2,52,52,2
2023-05-07,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,2,52,52,2
2023-05-08,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,2,52,52,2
2023-05-09,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,2,52,52,2
2023-05-10,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,2,52,52,2
2023-05-11,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,4,50,50,4
2023-05-12,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,4,50,50,4
2023-05-13,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,4,50,50,4
2023-05-14,3,Niedersachsen,3360,LK Uelzen,2,2,1,1.0,3,51,51,3
2023-05-15,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,5,49,49,5
2023-05-16,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,4,50,50,4
2023-05-17,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,4,50,50,4
2023-05-18,3,Niedersachsen,3360,LK Uelzen,2,2,2,1.0,4,50,50,4
2023-05-19,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,3,51,51,3
2023-05-20,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,3,51,51,3
2023-05-21,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,3,51,51,3
2023-05-22,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,2,52,52,2
2023-05-23,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,2,52,52,2
2023-05-24,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,2,52,52,2
2023-05-25,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,5,49,49,5
2023-05-26,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,5,49,49,5
2023-05-27,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,5,49,49,5
2023-05-28,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,2,52,52,2
2023-05-29,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,2,52,52,2
2023-05-30,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,2,52,52,2
2023-05-31,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,2,52,52,2
2023-06-01,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,4,50,50,4
2023-06-02,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,4,50,50,4
2023-06-03,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,4,50,50,4
2023-06-04,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,4,50,50,4
2023-06-05,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,5,49,49,5
2023-06-06,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,3,51,51,3
2023-06-07,3,Niedersachsen,3360,LK Uelzen,2,2,2,0.0,4,50,50,4
2023-06-08,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,4,50,50,4
2023-06-09,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,3,51,51,3
2023-06-10,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,2,52,52,2
2023-06-11,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,2,52,52,2
2023-06-12,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,5,49,49,5
2023-06-13,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,3,51,51,3
2023-06-14,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,2,52,52,2
2023-06-15,3,Niedersachsen,3360,LK Uelzen,2,2,1,0.0,2,52,52,2
2023-06-16,3,Niedersachsen,3360,LK Uelzen,2,2,0,,3,51,51,3
2023-06-17,3,Niedersachsen,3360,LK Uelzen,2,2,0,,3,51,51,3
2023-06-18,3,Niedersachsen,3360,LK Uelzen,2,2,0,,2,52,52,2
2023-06-19,3,Niedersachsen,3360,LK Uelzen,2,2,0,,5,49,49,5
2023-06-20,3,Niedersachsen,3360,LK Uelzen,2,2,0,,5,49,49,5
2023-06-21,3,Niedersachsen,3360,LK Uelzen,2,2,0,,4,50,50,4
2023-06-22,3,Niedersachsen,3360,LK Uelzen,2,2,0,,4,50,50,4
2023-06-23,3,Niedersachsen,3360,LK Uelzen,2,2,0,,3,51,51,3
2023-06-24,3,Niedersachsen,3360,LK Uelzen,2,2,0,,3,51,51,3
2023-06-25,3,Niedersachsen,3360,LK Uelzen,2,2,0,,5,49,49,5
2023-06-26,3,Niedersachsen,3360,LK Uelzen,2,2,0,,5,49,49,5
2023-06-27,3,Niedersachsen,3360,LK Uelzen,2,2,0,,3,51,51,3
2023-06-28,3,Niedersachsen,3360,LK Uelzen,2,2,0,,4,50,50,4
2023-06-29,3,Niedersachsen,3360,LK Uelzen,2,2,0,,4,50,50,4
2023-06-30,3,Niedersachsen,3360,LK Uelzen,2,2,0,,4,50,50,4
2023-07-01,3,Niedersachsen,3360,LK Uelzen,2,2,0,,4,50,50,4
2023-07-02,3,Niedersachsen,3360,LK Uelzen,2,2,0,,3,51,51,3
2023-07-03,3,Niedersachsen,3360,LK Uelzen,2,2,0,,3,51,51,3
2023-07-04,3,Niedersachsen,3360,LK Uelzen,2,2,0,,3,51,51,3
2023-07-05,3,Niedersachsen,3360,LK Uelzen,2,2,0,,4,50,50,4
2023-07-06,3,Niedersachsen,3360,LK Uelzen,2,2,0,,4,50,50,4
2023-07-07,3,Niedersachsen,3360,LK Uelzen,2,2,0,,4,50,50,4
2023-07-08,3,Niedersachsen,3360,LK Uelzen,2,2,0,,3,51,51,3
2023-07-09,3,Niedersachsen,3360,LK Uelzen,2,2,0,,9,45,45,9
2023-07-10,3,Niedersachsen,3360,LK Uelzen,2,2,0,,9,45,45,9
2023-07-11,3,Niedersachsen,3360,LK Uelzen,2,2,0,,6,48,48,6
2023-07-12,3,Niedersachsen,3360,LK Uelzen,2,2,0,,5,49,49,5
2023-07-13,3,Niedersachsen,3360,LK Uelzen,2,2,0,,5,49,49,5
2023-07-14,3,Niedersachsen,3360,LK Uelzen,2,2,0,,6,48,48,6
2023-07-15,3,Niedersachsen,3360,LK Uelzen,2,2,0,,5,49,49,5
2023-07-16,3,Niedersachsen,3360,LK Uelzen,2,2,0,,5,49,49,5
2023-07-17,3,Niedersachsen,3360,LK Uelzen,2,2,0,,5,49,49,5
2023-07-18,3,Niedersachsen,3360,LK Uelzen,2,2,0,,3,51,51,3
2023-07-19,3,Niedersachsen,3360,LK Uelzen,2,2,0,,2,52,52,2
2023-07-20,3,Niedersachsen,3360,LK Uelzen,2,2,0,,2,52,52,2
2023-07-21,3,Niedersachsen,3360,LK Uelzen,2,2,0,,3,51,51,3
2023-07-22,3,Niedersachsen,3360,LK Uelzen,2,2,0,,3,51,51,3
2023-07-23,3,Niedersachsen,3360,LK Uelzen,2,2,0,,4,50,50,4
2023-07-24,3,Niedersachsen,3360,LK Uelzen,2,2,0,,5,49,49,5
2023-07-25,3,Niedersachsen,3360,LK Uelzen,2,2,0,,5,49,49,5
2023-07-26,3,Niedersachsen,3360,LK Uelzen,2,2,0,,5,49,49,5
2023-07-27,3,Niedersachsen,3360,LK Uelzen,2,2,0,,4,50,50,4
2023-07-28,3,Niedersachsen,3360,LK Uelzen,2,2,0,,4,50,50,4
2023-07-29,3,Niedersachsen,3360,LK Uelzen,2,2,0,,4,50,50,4
2023-07-30,3,Niedersachsen,3360,LK Uelzen,2,2,0,,4,50,50,4
2023-07-31,3,Niedersachsen,3360,LK Uelzen,2,2,1,,4,50,50,4
2023-08-01,3,Niedersachsen,3360,LK Uelzen,2,2,1,,4,50,50,4
2023-08-02,3,Niedersachsen,3360,LK Uelzen,2,2,1,,2,52,52,2
2023-08-03,3,Niedersachsen,3360,LK Uelzen,2,2,1,,6,48,48,6
2023-08-04,3,Niedersachsen,3360,LK Uelzen,2,2,1,,2,52,52,2
2023-08-05,3,Niedersachsen,3360,LK Uelzen,2,2,1,,2,52,52,2
2023-08-06,3,Niedersachsen,3360,LK Uelzen,2,2,1,,2,52,52,2
2023-08-07,3,Niedersachsen,3360,LK Uelzen,2,2,1,,4,50,50,4
2023-08-08,3,Niedersachsen,3360,LK Uelzen,2,2,1,,4,50,50,4
2023-08-09,3,Niedersachsen,3360,LK Uelzen,2,2,1,,6,48,48,6
2023-08-10,3,Niedersachsen,3360,LK Uelzen,2,2,0,,2,52,52,2
2023-08-11,3,Niedersachsen,3360,LK Uelzen,2,2,0,,2,52,52,2
